"","id","书名","评论数","作者","出版时间","出版社","折扣价","原价","折扣","分类","简介","year"
"1",1,"好妈妈胜过好老师",376927,"尹建莉　著","2009-01-01","作家出版社","￥16.80","￥28.00","6.0折","亲子/家教","妈妈是朋友，妈妈是老师，妈妈是孩子的引路人，妈妈教育方法的差别，常常影响孩子的一生。,　　本书作者既是好妈妈又是好老师，写本书意在沟通学校教育和家庭教育，因有感于家庭教育的被忽视与不得法，而取名为“好妈妈胜过好老师”。,这是一本有勇气、有思想、有智慧的书，是难得的家教读本，既敢直面教育问题，又深入地思考；有独到的教育观念，更有教育智慧，*重要的还有无所不在的爱心。,本书可供家长读、教师读，像我这样关心教育的人也会从中得到效益。,——著名学者,北京大学教授,钱理群,　　我原来只看到我的孩子和你的孩子之间的差",2012
"2",2,"你若安好便是晴天——林徽因传",328321,"白落梅　著","2011-09-01","中国华侨出版社","￥19.10","￥28.00","6.8折","传记","　　林徽因，一代风华的绝世佳人，才华横溢倾倒众生；让徐志摩、梁思成、金岳霖三大才子痴迷钟爱一生。就是这个走在人间四月天的女子，让众男子“渴望仰慕爱”，让众女子“羡慕嫉妒恨”。21世纪隐世才女白落梅走近20世纪传奇的女子，展现一代才女多情动人的人生传奇。,更多推荐：,时光知味（当当独家赠送白落梅亲笔签名+精美明信片）,你是锦瑟,我为流年：三毛的万水千山（精装版）（当当独家附赠超精美白落梅经典作品集明信片1套,）,白落梅传记三部曲套装（共3册）（精装）你若安好，便是晴天——林徽因的人间四月天，因为懂得，所以慈",2012
"3",3,"不一样的卡梅拉（全6册）（适合2-10岁阅读）",311871,"(法)克利斯提昂?约里波瓦 / 文 克利斯提昂?艾利施 / 图 郑迪蔚 / 译","2006-10-01","二十一世纪出版社有限责任公司发行部","￥27.50","￥40.80","6.7折","","",2012
"4",4,"遇见未知的自己：都市身心灵修行课",178818,"张德芬　著","2008-01-01","华夏出版社","￥20.00","￥29.00","6.9折","","",2012
"5",5,"青春（本书为老版本，已售罄，请查看页面上新版链接）（韩寒口碑...",142295,"韩寒 著","2011-10-01","湖南人民出版社","￥17.40","￥29.00","6.0折","文学","该页面为老版本，已售罄。《青春》**版，点击购买:《韩寒：青春》新版,这一代年轻人的希望在哪里？,　　29岁韩寒的悲悯之心,　　畅销台湾，已售出10种语言版权。,　　★,年仅29岁的韩寒，越来越被人拿来与鲁迅相提并论，看他的杂文，总是那么畅快淋漓。,　　★,每当遇到公众事件，大家总是说：“等等，先听听韩老师怎么说。”,　　★在过去的几年中，对于反家乐福抵制法国货、燃油税上涨、荆州挟尸要价等重大事件，韩老师的确作出了很经典的论断，许多句子脍炙人口，在各大论坛流传。,　　★本书主打篇目《青春》讲述了一个月薪1",2012
"6",6,"窗边的小豆豆",445474,"(日)黑柳彻子　著，(日)岩崎千弘　图，赵玉皎　译","2011-01-01","南海出版社","￥13.80","￥25.00","5.5折","童书","推荐购买：“小豆豆”陪伴你走过2016年的春夏秋冬《绘本窗边的小豆豆2016年挂历》,推荐购买《绘本窗边的小豆豆》，更多美好的画面，适合亲子阅读、小学中低年级孩子自主阅读,推荐购买《小豆豆的美好的语言》“窗边的小豆豆”系列*温馨的一本书：当你陷入不安和寂寞时，请听听这些鼓励过小豆豆的故事,推荐购买《夏山学校》，《窗边的小豆豆》巴学园原型，20世纪*伟大教育经典――实践自由发展，见证爱的教育！",2012
"7",7,"百年孤独",574793,"(哥伦比亚)马尔克斯　著，范晔 译","2011-06-01","南海出版社","￥24.50","￥39.50","6.2折","小说","加西亚·马尔克斯,相关推荐↓↓,《迷宫中的将军》：马尔克斯名篇首次正式出版！著名翻译家王永年经典译文！真实的玻利瓦尔只存在于历史深处，这本写玻利瓦尔的文学经典则如南美洲一样不朽！,《霍乱时期的爱情》：诺贝尔文学奖得主、《百年孤独》作者马尔克斯说：“这是我**的作品！”首次正式授权，完整翻译！,《一桩事先张扬的凶杀案》：马尔克斯:一个残忍的犯罪故事，为此我写了三十年。作者继《百年孤独》后流传*广、影响**的小说）,《族长的秋天》：马尔克斯倾注*多情感的内心告白；被誉为“50年所有语种里*伟大的小说”！,《没",2012
"8",8,"因为痛，所以叫青春",204002,"(韩)金兰都　著，金勇　译","2012-02-01","广西科学技术出版社","￥28.90","￥29.80","9.7折","成功/励志","　　“本书已于2015年4月进行修订，请购买《因为痛，所以叫青春——修订升级版》，此版本为旧版本，卖完不再售。”　,　　★因为痛，所以叫青春(修订升级版)（超过100万中国年轻人购买后强烈共鸣！版权售出9国，全亚洲疯狂重印700余次！金教授沉寂4年潜心修订！赠8张精美明信片！毕淑敏、金在中、吴亦凡力荐！）,　　★这本书与其他青春主题的书籍的**不同在于，它并不是一本训斥年轻人为什么这么自私、无能、不争气的书，也不是一本空泛的喊口号告诉你只要努力、前途就一定光明的书，它是一本像朋友一样静静地倾听你的苦恼，并",2012
"9",9,"正能量",212497,"(英)理查德·怀斯曼　著，李磊　译","2012-08-01","湖南文艺出版社","￥20.50","￥29.80","6.9折","成功/励志","睡眠正能量：《正能量》作者理查德怀斯曼**作品，*有趣味和实践性的心理书，让你告别焦虑、失眠、筋疲力尽的人生,正能量2·幸福的方法（理查德.怀斯曼继《正能量》销售破150万册，正能量2.幸福的方法重磅上市）,怪诞心理学（《正能量》作者、***心理学大师怀斯曼*重要作品，畅销百万册，*另类有趣的心理学实验书）,1．《正能量》——***心理学大师理查德·怀斯曼**巨著！,　　“英国大众心理学传播**教授”理查德?怀斯曼，为我们带来了这本***的心理学巨作！他曾出版过风靡全球的畅销书《怪诞心理学》系列，其心理学",2012
"10",10,"秘密 The Secret",153815,"(澳)拜恩(Byrne，R)著，谢明宪 译","2008-11-01","中国城市出版社","￥22.10","￥32.00","6.9折","","",2012
